Item,Amount (g),Calories,THg (ng/g),Moderate Hg Increase,Severe Hg Increase,Traditional Food,Food Source,Coastal/Interior,Calorie Citation,Hg Citation,Substituted Hg,Substituted Calories,Notes
American Wigeon,100,152,7,7,7,1,Game,Interior,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Teitelbaum et al. 2022,Duck muscle,Wild duck,Hg from muscle
"Apple Juice, canned sweetened",100,46,0.099,0.087,0.087,0,Store Fruit and Fruit Juice,Imported,https://fdc.nal.usda.gov/food-details/167771/nutrients,Dabeka et al. 2003,,,Hg Less than value.
Apple Sauce,100,50,0.099,0.099,0.099,0,Store Fruit and Fruit Juice,Imported,https://fdc.nal.usda.gov/food-details/2104794/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
"Apple, raw",100,57,0.11,0.11,0.11,0,Store Fruit and Fruit Juice,Imported,https://fdc.nal.usda.gov/food-details/168202/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Arctic Char,100,186,68,82.28,187,1,Non-Salmon,Interior,https://fdc.nal.usda.gov/food-details/2470085/nutrients,2001-2022 ADEC,,,Hg for fillet
Bananas,100,89,0.11,0.11,0.11,0,Store Fruit and Fruit Juice,Imported,https://fdc.nal.usda.gov/food-details/173944/nutrients,Dabeka et al. 2003,,,Hg Less than value. 
Bearded seal,100,110,30,36.3,82.5,1,Marine Mammal,Coastal,https://fdc.nal.usda.gov/food-details/167610/nutrients,Dehn et al. 2005,,Generic seal meat,Hg from muscle.
Beaver,100,146,10.4,10.4,10.4,1,Game,Interior,https://fdc.nal.usda.gov/food-details/175294/nutrients,Gizejewska et al. 2014,Beaver Muscle,,Hg from muscle
"Beef, steak",100,166,0.42,0.42,0.42,0,Imported Protein,Imported,https://fdc.nal.usda.gov/food-details/331960/nutrients,Dabeka et al. 2003,,,
Beluga,100,111,1130,1367.3,3107.5,1,Marine Mammal,Coastal,https://fdc.nal.usda.gov/food-details/169797/nutrients,Dehn et al. 2006,,,Hg from muscle
Bering Cisco,100,98,65,78.65,178.75,1,Non-Salmon,Local,https://fdc.nal.usda.gov/food-details/171953/nutrients,2001-2022 ADEC,,Generic cisco,Hg for fillet
Black Bear,100,163,8,8,8,1,Game,Local,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Golzadeh et al. 2020,Bear muscle (unspecifed species),,Hg from muscle
Black Scoter,100,152,134.7,134.7,134.7,1,Game,Interior,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Rothschild et al. 2005,,Mallard,Used Hg from muscle
Blackberry,100,43,5,5,5,1,Traditional Plants and Fungi,Coastal,https://fdc.nal.usda.gov/food-details/173946/nutrients,Golzadeh et al. 2020,Berries,,
Blackfish,100,82,22,26.62,60.5,1,Non-Salmon,Coastal,https://fdc.nal.usda.gov/food-details/169798/nutrients,2001-2022 ADEC,Alaska Blackfish,,Hg for whole body
Blueberry,100,61,0.21,0.21,0.21,1,Traditional Plants and Fungi,Local,https://fdc.nal.usda.gov/food-details/167640/nutrients,Dabeka et al. 2003,,,
Brant,100,161,2.3,2.3,2.3,1,Game,Coastal,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Rothschild et al. 2005,,Canada Goose,Hg from muscle
Broad Whitefish,100,134,58,70.18,159.5,1,Non-Salmon,Local,https://www.canada.ca/en/health-canada/services/food-nutrition/healthy-eating/nutrient-data/table-8-fish-shellfish-nutrient-value-some-common-foods-2008.html,2001-2022 ADEC,,,Hg for fillet
Broccoli,100,34,0.4,0.4,0.4,0,Store Vegetable,Imported,https://fdc.nal.usda.gov/food-details/170379/nutrients,Dabeka et al. 2003,,,Hg for fillet
Brown Bear,100,163,8,8,8,1,Game,Interior,https://www.adfg.alaska.gov/index.cfm?adfg=hunting.eating,Golzadeh et al. 2020,Bear muscle (unspecifed species),,Hg from muscle
Burbot,100,90,275,332.75,756.25,1,Non-Salmon,Local,https://fdc.nal.usda.gov/food-details/171950/nutrients,2001-2022 ADEC,,,Hg for fillet
